duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
120,circular formation of 20 red/orange lights which then broke apart and moved west,flower mound,2009-01-10,-97.0966667,tx,120,2 minutes,8019,light,2008-11-11 19:37:00.000000,33.0144444,us
300,This thing went Galactic&#44 out of the Universe&#33,austin,2009-12-12,-97.7427778,tx,300,5 minutes,8029,other,2009-11-11 00:00:00.000000,30.2669444,us
20,Bright Silver Oval Object 20 seconds Clear Sky,austin,2011-12-12,-97.7427778,tx,20,20 seconds,8044,oval,2011-11-11 11:53:00.000000,30.2669444,us
4,Me and a couple of buddies were out on the Guadalupe river last night when the area we were in lit up.,new braunfels,2012-11-19,-98.1241667,tx,4,2-4 seconds,8059,other,2012-11-11 02:00:00.000000,29.7027778,us
2700,Mysterious lights in the sky around Alpine&#44 Texas,alpine,2005-01-27,-103.6605556,tx,2700,45 minutes,8123,light,1974-11-01 20:00:00.000000,30.3583333,us
120,Wildlife photos developed with only a ufo in pic,san angelo,2012-04-18,-100.4366667,tx,120,two minutes,8136,chevron,1978-11-01 13:00:00.000000,31.4636111,us
60,Triangle craft flying over Haltom City&#44 Tx. 11/01/1979,haltom city,2004-08-11,-97.2688889,tx,60,60 seconds,8140,triangle,1979-11-01 21:00:00.000000,32.7994444,us
600,Four witness huge craft in East Texas.,east texas river,2002-11-20,-100.537501,tx,600,10 minutes,8144,egg,1982-11-01 00:00:00.000000,35.954359,
300,UFO in weat feild - Honey Grove - Texas,honey grove,2005-01-19,-95.9097222,tx,300,5 min,8150,disk,1984-11-01 17:30:00.000000,33.5833333,us
2,Blue Sphere of Light - Turns into Upside Down Pyramid of Light,plano,2000-09-17,-96.6986111,tx,2,2 seconds,8186,sphere,1995-11-01 22:30:00.000000,33.0197222,us
2700,Very distinct object (circular in shape) passed over three major suburb cities of Dallas&#44 Tx.,carrollton,2005-02-08,-96.89,tx,2700,45 minutes,8201,circle,1997-01-11 22:00:00.000000,32.9536111,us
3600,Several people reported seeing bright lights outside Notrees TX. Reports from KCHX&#44 KMRK radio and KOSA TV CBS.,notrees (close to odessa tx),1999-11-09,-102.7552778,tx,3600,1 hour,8230,light,1999-11-01 18:30:00.000000,31.9172222,us
10,AN OBJECT SEEN THAT SEEMED TO CHANGE SHAPE IN FIGHT&#44 THERE WAS NO SOUND AND IT WAS TRAVELING AT A HIGH RATE OF SPEED. IT WAS ONLY VISIB,clear lake,1999-11-09,-96.495,tx,10,5-10 seconds,8231,changing,1999-11-01 19:10:00.000000,33.0780556,us
30,The craft shot a ray of solid light up into the sky and connected to what appeared to be a star.,austin,2003-10-31,-97.7427778,tx,30,30 seconds,8237,disk,2000-11-01 01:00:00.000000,30.2669444,us
900,The object very bright&#44 shimering&#44 as bright as the setting sun about 25 degrees to the south&#33&#33 Oval or disc shaped standing upright&#44 h,texarkana,2001-11-20,-94.0475,tx,900,15 minutes,8257,oval,2001-11-01 17:00:00.000000,33.4250000,us
15,Black square object seen over Austin Tx&#44 Fall of 2002.,austin,2003-11-26,-97.7427778,tx,15,15 seconds,8300,other,2002-11-01 01:00:00.000000,30.2669444,us
36,Large rectangular object with muticolored lights like needled in  a pin cushion,san antonio,2010-08-24,-98.4933333,tx,36,36 seconds,8326,rectangle,2002-01-11 21:40:00.000000,29.4238889,us
120,ufo&#39s flew about 200 ft from my car. on I-10 on my way back from albuquerque,el paso,2005-01-19,-106.4863889,tx,120,2 min,8374,disk,2005-01-11 01:00:00.000000,31.7586111,us
