track,album-name,artist,release-date,isrc,all-time-rank,track-score,spotify-streams,spotify-playlist-count,spotify-playlist-reach,spotify-popularity,youtube-views,youtube-likes,tiktok-posts,tiktok-likes,tiktok-views,youtube-playlist-reach,apple-music-playlist-count,airplay-spins,siriusxm-spins,deezer-playlist-count,deezer-playlist-reach,amazon-playlist-count,pandora-streams,pandora-track-stations,soundcloud-streams,shazam-counts,tidal-popularity,explicit-track
Gatita,Gatita,Bellakath,10/5/2022,QZPLR2286558,"1,184",43.6,"218,661,601","25,714","8,048,259",57,"173,995,566","1,354,818","1,961,387","191,009,331","2,353,588,008","324,051",8,"13,477",600,3,"154,370",24,"4,469,095","7,776","38,842","873,692",,0
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/2023,USRN12300006,"1,183",43.6,"100,360,956","15,383","9,521,311",69,"12,196,961","98,714","45,372","6,096,788","57,109,846",,19,"242,951",37,6,"23,353",17,"66,436,990","4,806",,"415,236",,0
Love You Anyway,Love You Anyway,Luke Combs,2/10/2023,US6XF2100158,"1,185",43.6,"164,507,374","29,896","7,920,265",67,"47,201,934","291,689","127,315","21,357,285","220,946,119","389,278,042",20,"146,916",4,2,592,23,"124,948,868","11,423",,"624,045",,0
MOJABI GHOST,DATA,Tainy,6/29/2023,USA2P2331985,"1,188",43.5,"368,429,447","46,625","20,677,828",75,"74,049,864","676,666","3,207","955,307","6,911,099","638,649,904",52,"4,683",49,11,"847,361",10,"6,221,683","1,262",,"715,485",,1
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,USUM72208963,"1,194",43.4,"426,936,498","118,020","24,734,503",74,"124,386,115","2,134,071","34,724","16,024,927","186,922,543","1,303,000,868",48,"13,141",122,21,"357,536",45,"8,689,010","3,163",,"1,452,569",,1
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208792,"1,191",43.4,"325,654,069","108,296","18,764,224",71,"21,886,334","217,873",,3,19,"7,326,120",15,311,,4,"73,801",6,"2,079,133","1,461",,"660,445",,1
Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,1/11/2023,QZTJ32100010,"1,192",43.4,"47,586",60,"2,805",,"543,509,003","3,372,617",,,,"560,891,372",,,,,,,,,,136,,0
You're Really Funny,Rly Funny - EP,Crocodyle,11/11/2022,QMEU32216759,"1,190",43.4,,9,31,,"631,421,040","3,549,192",,,,,,6,,,,,,,,45,,0
Papercut,Papercuts,Linkin Park,4/12/2024,USWB12401897,"1,193",43.4,"497,285,757",4,466,,,,,,,,,,,,,,,,476,,,0
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2/10/2015,USUG11500923,"1,195",43.4,"1,667,089,416","97,707","24,754,802",69,"955,666,073","8,354,260","331,766","121,101,434","1,048,617,583","203,635,578",26,,91,11,"278,161",20,"1,063,784,773","693,592","13,875,776",,,1
